Frame,ts,capsfilter0,queue0,vaapipostproc0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
89,7782439098,0.102782,0.234505,1.785863,0.196262,4.952779,0.467862,0.373901,0.169529,0.089454,,
90,7815618038,0.101871,0.232329,1.730607,0.244029,5.056808,1.147312,0.492567,0.132258,0.069613,,
91,7850215623,0.103207,0.234725,1.796912,0.195965,4.798449,0.444552,0.392436,0.137962,0.07078,,
92,7883021290,0.103931,2.947842,10.171086,0.283958,5.441505,0.902882,1.028271,0.135114,0.070794,,
93,7929944109,0.149112,0.384714,2.619766,0.277369,5.267831,0.904641,0.909101,0.291326,0.152908,,
94,7953361632,0.101036,0.264047,1.772835,0.231845,5.049185,0.699408,0.446834,0.263197,0.136149,,
95,7990594844,0.100035,0.228864,1.754156,0.202755,4.038668,0.449649,0.279741,0.165045,0.089043,,
96,8025072042,,,,,,,,0.15085,0.070131,,
97,8030376948,,,,,,,,0.12047,0.139203,,
98,8030931821,0.101272,0.234896,1.775956,0.20137,4.653106,0.474685,0.336278,0.100639,0.072732,,
99,8051692393,0.095656,0.277948,1.733898,0.199516,4.271422,0.583812,0.564108,0.129712,0.070051,,
100,8085503426,0.117606,0.281526,2.469459,0.220071,4.870076,0.60916,0.440346,0.174098,0.094852,,
101,8120546451,0.110503,0.262233,1.842705,0.217171,4.356921,0.563877,0.332691,0.170705,0.094677,,
102,8153094211,0.113967,0.269204,1.813307,0.213321,4.941241,0.569169,0.445206,0.247046,0.198702,,
103,8187476470,0.113173,0.949008,1.844755,0.216155,4.628499,0.572082,0.425259,0.206124,0.090759,,
104,8221589270,0.113439,0.266548,1.763529,0.219144,5.31887,0.578104,0.398416,0.160387,0.088235,,
105,8255275659,0.114097,0.269048,1.790771,0.221287,5.038364,2.96459,7.607324,0.155155,0.089253,,
106,8298391463,0.111004,0.257382,1.777821,0.212891,3.994004,0.540801,0.338424,0.164388,0.084815,,
107,8321369009,0.123827,0.305473,2.537488,0.235153,4.594036,0.605156,0.474501,0.145595,0.082963,,
108,8357081209,0.121336,0.294019,1.786152,0.278025,4.088485,0.591041,0.416864,0.17503,0.33624,,
109,8389255365,0.126864,0.325758,1.841279,0.232115,4.618766,0.653401,0.509201,0.141729,0.078482,,
110,8423819412,0.367687,0.831794,1.924195,0.212695,4.260893,0.539644,0.311944,0.176872,0.095739,,
111,8457688238,0.107116,0.250598,1.827692,0.202742,4.986972,0.578169,0.4383,0.138298,0.077878,,
112,8491466853,0.113567,0.303521,1.764394,0.221273,4.73708,0.571429,0.382621,0.164222,0.138564,,
113,8525092805,0.111789,0.265513,1.849061,0.216976,4.618822,0.543364,0.400786,0.244556,0.20511,,
114,8558628494,0.11118,0.260827,1.806905,0.214781,5.110649,0.612212,0.46703,0.209807,0.091212,,
115,8593175160,0.11603,1.260891,2.798073,0.224217,4.442909,0.628451,0.321878,0.396695,0.102878,,
116,8627904942,0.108931,0.25511,2.472483,0.21266,4.782072,0.549974,0.393603,0.150771,0.089609,,
117,8660656974,0.110056,0.259272,1.745071,0.273238,4.829188,0.855077,0.519177,0.151167,0.083033,,
118,8694289674,0.120546,0.29117,1.836955,0.23262,4.771462,0.597427,0.405436,0.187237,0.102264,,
119,8727716234,0.106903,0.242482,1.872518,0.206572,5.191635,0.619233,0.359651,0.166741,0.09487,,
120,8761762498,0.116183,0.275674,1.885262,0.215268,4.479478,0.574327,0.325289,0.141427,0.076132,,
121,8794857371,0.103666,0.252023,1.729891,0.202147,4.726784,0.475418,0.343528,0.149434,0.088521,,
122,8828534996,0.138971,0.353917,1.832476,0.348162,4.550673,0.711089,0.476869,0.13,0.070856,,
123,8863102188,0.115175,0.26569,1.830349,0.224234,4.774018,0.543312,0.368269,0.207599,0.176493,,
124,8896319841,0.106215,0.234857,1.746262,0.203912,4.467235,0.523396,0.387609,0.147989,0.083449,,
125,8929684367,0.102684,0.232532,1.816487,0.196868,4.396485,0.472688,0.285184,0.131411,0.069464,,
126,8963297199,0.110858,0.264706,1.775812,0.212784,4.617086,0.751088,0.392247,0.122412,0.069055,,
127,8997627503,0.11014,0.258333,2.433149,0.202144,4.517936,0.524056,0.294834,0.153292,0.08363,,
128,9031701720,,,,,,,,0.126136,0.081976,,
129,9043784218,,,,,,,,0.140066,0.154785,,
130,9044632466,0.11244,0.260058,1.759635,0.215154,4.968591,0.932056,0.611339,0.125603,0.221344,,
131,9066132394,0.127062,0.310364,1.870999,0.237269,5.028727,0.6486,0.558453,0.20689,0.112355,,
132,9099777384,0.109599,0.302726,1.760386,0.209426,4.324242,0.52281,0.338139,0.188296,0.102385,,
133,9132254973,0.102173,0.236621,1.826153,0.199901,5.086052,0.944957,0.661484,0.139979,0.07848,,
134,9167731061,0.116908,0.276357,1.823082,0.225868,4.72234,0.608773,0.4576,0.265603,0.164321,,
135,9200521382,0.106312,0.274905,1.743777,0.255464,4.291688,0.488712,0.394321,0.17312,0.0956,,
136,9233554432,0.131816,0.325505,2.432821,0.241178,4.689332,0.548172,0.436443,0.140833,0.073613,,
137,9268640708,0.109161,0.307921,1.748013,0.21446,4.696212,0.55798,0.407703,0.157145,0.083121,,
138,9301616845,0.138836,0.352631,1.921973,0.2677,5.16446,0.644675,0.480595,0.152713,0.082885,,
139,9336392072,0.111249,0.263071,1.839922,0.216049,4.809553,0.514846,0.436708,0.185859,0.103707,,
140,9369344558,0.108842,0.24868,1.753993,0.860101,4.783084,0.818282,0.56711,0.157837,0.08319,,
141,9404108216,0.116232,0.30491,1.763915,0.225844,4.709005,0.574941,0.373215,0.21173,0.0975,,
142,9436751683,0.130582,0.328238,1.812525,0.255966,4.583635,1.069624,0.480485,0.15628,0.089555,,
143,9471126790,0.111882,0.268194,1.792506,0.218354,5.028635,0.574783,0.466954,0.155626,0.088825,,
144,9504693380,0.108965,4.031368,2.097325,0.208937,4.45214,0.815008,0.526058,0.165885,0.088299,,
145,9542340258,0.10984,0.255677,1.879756,0.212911,4.38659,0.540022,0.357191,0.2613,0.092575,,
146,9571493151,0.112293,0.249804,1.766092,0.25683,5.675182,0.577811,1.145101,0.147232,0.083167,,
147,9607722570,0.113113,0.267841,2.530258,0.206966,15.699273,0.572798,0.500474,0.275707,0.092335,,
148,9651220984,0.112989,0.296227,1.762667,0.210258,4.426407,1.092019,0.465094,0.17086,0.088978,,
149,9673808309,0.1108,0.259643,1.744358,0.291871,4.570586,1.166628,0.528509,0.15736,0.083746,,
150,9707609309,0.119022,0.29875,1.786861,0.218362,4.058562,0.545025,0.307307,0.174353,0.146477,,
151,9739949955,0.111203,0.260558,1.748841,0.216942,4.511484,1.337124,0.548587,0.141075,0.083391,,
152,9775189265,0.100488,0.232245,1.772029,0.20036,4.805849,0.475529,0.365596,0.204904,0.085384,,
153,9808013919,0.139323,0.373467,1.857607,0.278787,5.051324,0.933706,0.714175,0.132773,0.069933,,
154,9843690314,0.148386,0.379971,2.639869,0.292448,10.402014,0.749185,0.552207,0.272055,0.151407,,
155,9883015817,0.108431,0.25917,1.761871,0.219372,4.619512,0.533501,0.465376,0.217573,0.123133,,
156,9917829150,0.105049,0.24133,1.795273,0.200207,4.457325,0.471838,0.336905,0.159842,0.082942,,
157,9942823189,0.099856,0.23428,1.822028,0.203382,4.442796,0.473122,0.388305,0.128278,0.070081,,
158,9976693986,0.10274,0.234411,1.734371,0.290415,4.63853,0.594987,0.488606,0.133291,0.070328,,
159,10010928815,0.117194,0.279384,1.872739,0.22469,10.923549,0.270792,0.341149,0.175369,0.095339,,
160,10050607526,,,,,,,,0.135318,0.087954,,
161,10057050518,,,,,,,,0.176082,0.162876,,
162,10057881276,0.113371,0.268376,1.765937,0.224108,5.048349,0.552101,0.60341,0.142294,0.091648,,
163,10078965116,0.109806,0.259924,1.807656,0.24934,4.841799,0.690538,0.541765,0.17552,0.088757,,
