Frame,ts,rtpsession0,rtpstorage0,rtpssrcdemux0,rtpjitterbuffer0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
155,1222081949,0.025024,0.031328,0.023424,0.25392,,,,,,,,,,
156,1222229564,0.023616,0.064223,0.035328,,0.087456,0.101055,,,,,,,,
157,1222388572,0.025248,0.03216,0.05296,,,,0.088288,,,,,,,
158,1222548955,0.026175,0.030624,0.02432,,,,,,,,,,,
159,1222694395,0.02768,0.036864,0.05376,,,,,0.305823,0.054752,,,,,
160,1222901882,0.026495,0.033024,0.024736,,,,,,,,,,,
161,1223022362,0.024256,0.033056,0.02592,1.016701,,0.08064,,,,,,,,
162,1223168442,0.025088,0.0296,0.029311,,0.077184,,,,,,,,,
163,1223327129,0.02656,0.03312,0.02368,1.273148,,,,,,,,,,
164,1223465273,0.025792,0.031168,0.04752,,0.090399,0.077248,,,,,,,,
165,1223632312,0.026048,0.03376,0.02448,1.460156,0.070687,0.068896,,,,,,,,
166,1223931223,0.027231,0.0656,0.063296,,,,0.066592,,,,,,,
167,1224188823,0.04624,0.053792,0.045407,,,,,0.261344,,,,,,
168,1224417878,0.045376,0.056032,0.042432,,,,,,,,,,,
169,1224266166,0.043391,0.052576,0.105312,,,,,,0.073599,16.150736,0.134656,,,
170,1224864821,0.046368,0.055455,0.06816,2.436888,0.076544,0.10944,,,,,,0.123232,,
171,1225157108,0.047168,0.05792,0.044,2.671512,,,,,,,,,,
172,1225319283,0.044256,0.051392,0.042976,,0.068992,0.074496,,,,,,,,
173,1225565138,0.046816,0.055199,0.096416,2.803831,0.066944,0.078048,0.058784,,,,,,,
174,1225862226,0.046528,0.055424,0.041247,,,,,,,,,,,
175,1226053777,0.040032,0.051136,0.042592,,,,,0.289599,0.0768,,,,,
176,1226279632,0.042015,0.055072,0.043744,3.462358,,,,,,,,,,
177,1226525136,0.042976,0.098464,0.046591,,0.109823,0.115072,,,,,,,,
178,1226762639,0.050016,0.057056,0.041952,3.758453,,0.065088,,,,,,,,
179,1226942862,0.043583,0.052992,0.042848,,0.071039,,,,,,,,,
180,1227117742,0.04112,0.053856,0.066848,3.919989,0.074847,0.086304,,,,,,,,
181,1227431565,0.04784,0.059584,0.099936,4.0973,0.083584,0.124863,,,,,,,,
182,1227742284,0.048544,0.061632,0.053088,4.337395,,,,,,,,,,
183,1227924747,0.046495,0.061568,0.075552,,0.09152,0.074559,,,,,,,,
184,1228219563,0.04528,0.035936,0.024255,4.588082,,,,,,,,,,
185,1228334666,0.023648,0.029088,0.026848,,0.086816,0.069376,,,,,,,,
186,1228489898,0.027296,0.032096,0.02416,,,,,,,,,,,
187,1228569578,0.02416,0.033375,0.057024,4.570771,0.066208,0.083679,,,,,,,,
188,1228770441,0.026336,0.031232,0.02464,,,,,,,,,,,
189,1228893033,0.024672,0.030336,0.023551,4.654003,0.064,0.065439,,,,,,,,
190,1229244200,,,,4.721746,0.068703,0.062144,,,,,,,,
191,1229557959,0.02944,0.037056,0.024256,4.764722,0.067327,0.068064,,,,,,,,
192,1229845382,0.024832,0.034112,0.028736,4.835602,0.087295,0.06608,,,,,,,,
193,1230190885,,,,4.924209,0.063232,0.065568,,,,,,,,
194,1230509028,,,,5.021329,0.062528,0.087296,,,,,,,,
195,1230731875,,,,5.052881,0.065696,0.072576,,,,7.982728,0.1344,,,
196,1231060866,,,,5.133233,0.060352,0.064608,,,,,,0.194591,,
197,1231397857,,,,5.237168,0.058432,0.06432,,,,,,,,
198,1231706048,,,,5.315888,0.09568,0.066784,,,,,,,,
199,1232018719,,,,5.385296,0.060256,0.061696,,,,,,,,
200,1232293630,0.085983,0.097376,0.075072,5.42712,0.060896,0.061919,,,,,,,,
201,1232752349,0.06096,0.100608,0.059103,5.662543,0.074144,0.084384,,,,,,,,
202,1233107740,0.050464,,,5.768014,0.0696,0.11232,,,,,,,,
203,1233379707,0.057856,0.283999,0.062208,5.806382,0.063136,0.060544,,,,,,,,
204,1233669818,,0.066111,0.070016,5.852782,0.06464,0.066048,,,,,,,,
205,1233996473,0.090944,,,5.880527,0.076544,0.062271,,,,,,,,
206,1234242073,0.030464,0.101088,0.240543,5.984303,0.220127,0.068224,,,,,,,,
207,1234646360,0.029728,0.037216,0.026816,6.314765,,0.064512,,,,,,,,
208,1234817303,0.160799,0.039744,0.041376,6.489772,0.067232,0.063552,,,,,,,,
209,1235151318,0.109119,0.059904,0.03552,6.623757,0.066528,0.062783,,,,,,,,
210,1235419829,0.028256,0.036832,0.051232,,0.066368,,,,,,,,,
211,1235632885,0.02752,0.037632,0.026464,6.990347,,,,,,,,,,
212,1235916404,0.027359,0.129856,0.047616,,0.080704,0.11984,,,,,,,,
213,1236071283,0.0272,0.042432,0.026848,,,,,,,11.825085,,,,
214,1236179187,,0.030048,0.024096,7.262603,0.062656,0.067776,,,,,0.21888,,,
215,1236498290,,,,6.686764,0.069504,0.064768,,,,,,0.188159,,
216,1236809745,,,,6.842763,0.059168,0.058752,,,,,,,,
217,1237069200,,,,4.530514,0.059712,0.05872,,,,,,,,
218,1237331152,,,,4.305844,0.057087,0.057376,,,,,,,,
219,1237590703,,,,4.091188,0.058112,0.0576,,,,,,,,
220,1237868718,,,,4.067092,0.058112,0.061792,0.131135,2.365241,0.069728,14.103222,0.199615,0.13968,,
221,1240812805,,,,6.263629,0.062624,0.06656,,,,,,,,
222,1241083844,,,,6.379149,0.075328,0.058335,,,,,,,,
223,1241307780,0.071392,0.078208,0.05248,6.446285,0.53859,0.044192,0.056544,0.195903,0.201504,,,,,
224,1242502784,0.04384,0.053408,0.041184,7.324714,0.044896,0.05088,,,,,,,,
225,1242710848,0.065696,0.040288,0.029791,7.280459,0.047936,0.077759,,,,,,,,
226,1242980703,,,,7.303786,0.041344,0.044032,0.041248,0.176671,0.033792,,,,,
227,1243459741,,,,7.494154,0.093568,0.049183,,,,,,,,
228,1243772572,,,,7.640778,0.060096,0.060511,,,,,,,,
229,1244070044,,,,7.772745,0.062399,0.083648,0.057152,0.261631,0.047584,,,,,
230,1244756730,,,,2.355097,0.065279,0.069216,,,,,,,,
231,1245316632,,,,2.701464,0.067264,0.0712,,,,,,,,
232,1245859510,,,,3.038359,0.091456,0.080512,0.06128,0.274687,0.047616,8.174248,,,,
233,1251870788,0.087231,0.075168,0.074048,0.236735,,,,,,8.737702,0.831613,0.438687,,
234,1252329571,0.038016,0.122272,0.056704,,0.108383,0.181536,,,,,,,30.737701,
235,1252650178,0.032704,0.037824,0.057664,,,,,,,,,,,
236,1252824322,0.02896,0.037984,0.028064,0.290655,,0.090687,,,,,,,,
237,1252988161,0.030144,0.035104,0.031552,,0.087136,,,,,,,,,
238,1253165697,0.031616,0.03632,0.02704,0.51923,0.084416,0.083104,,,,,,,,
239,1253492800,0.036288,0.0464,0.033408,,,,,,,,,,,
240,1253644671,0.031072,0.040256,0.088256,0.789117,,0.086816,,,,,,,,1.32806
241,1253996830,0.031392,0.177407,0.05328,,0.268511,,,,,,,,,
242,1254140990,0.031424,0.04752,0.051551,1.121277,0.0616,0.076351,,,,,,,,
243,1254396221,0.035104,0.048672,0.036704,1.2559,,0.054944,,,,,,,,
244,1254557756,0.033952,0.054207,0.039968,,0.054175,,,,,,,,,
245,1254685948,0.032096,0.04272,0.03376,1.15974,0.084192,0.070592,,,,,,,,
246,1254910235,0.032768,0.041439,0.034016,1.240828,,,,,,,,,,
247,1255025019,0.031808,0.043712,0.035488,1.169692,0.068288,0.051264,,,,,,,,
248,1255333690,0.033952,0.248223,0.054272,1.212925,0.049344,0.054144,,,,12.064604,0.155648,,,
249,1255611289,0.02896,0.039712,0.042208,1.342076,0.079807,0.085728,,,,,,0.151039,,
250,1255831993,0.044704,0.047584,0.051263,,0.058528,0.056992,,,,,,,,
251,1256031768,0.030368,0.0368,0.04864,1.420668,0.051808,0.054272,,,,,0.426367,,,
252,1256234456,0.027936,0.036448,0.027615,1.495803,,0.045792,,,,,,,,
253,1256356983,0.024384,0.042368,0.029056,,0.047616,,,,,,,,,
254,1256478359,0.0256,0.043488,0.028384,1.534108,,0.044928,,,,,,,,
255,1256610454,0.024704,0.032864,0.306111,,0.087167,,,,,,,,,
256,1257064693,0.028608,0.035776,0.0264,1.99721,,,,,,,,,,
257,1257220149,0.025024,0.06624,0.026144,,,0.107808,,,,,,,,
258,1257340180,0.024032,0.0328,0.026144,,0.128063,,,,,,,,,
259,1257492084,0.027424,0.030368,0.024256,,,,,,,,,,,
260,1257606131,0.02448,0.029439,0.022944,2.081177,,,,,,,,,,
261,1257718483,0.024224,0.030816,0.02736,,,0.094976,,,,,,,,
262,1257815571,0.025152,0.047168,0.089567,,0.132032,,,,,,,,,
263,1258045554,0.025952,0.031776,0.026368,,,,,,,,,,,
264,1258116946,0.024416,0.030432,0.062112,2.423737,,0.101824,,,,,,,,
265,1258323793,0.026112,0.030816,0.02304,,0.094719,,,,,,,,,
266,1258473361,0.0256,0.040448,0.0248,,,,,,,,,,,
267,1258589361,0.025568,0.03024,0.027679,,,,,,,14.078615,,,,
268,1258728560,0.023744,0.031168,0.024064,,,,,,,,,,,
269,1258841968,0.023648,0.029056,0.02288,2.665561,,,,,,,,,,
270,1258955503,0.023936,0.029631,0.0224,,,0.371262,,,,,0.37635,,,
271,1259098639,0.029536,0.043072,0.025248,3.296534,0.158048,0.114112,,,,,,0.155904,,
