Frame,ts,capsfilter0,queue0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,tee1,funnel0
120,9916723910,0.101216,0.314084,5.904985,0.295583,3.873888,0.621809,0.21328,0.155779,0.070484,,
121,9950525204,0.146479,0.268072,5.958512,0.248098,4.027481,0.627953,0.211776,0.160367,0.071243,,
122,9984432779,0.101307,0.367132,5.83682,0.297362,3.819347,0.664199,0.214613,0.173173,0.109827,,
123,10018807181,0.106492,0.322893,5.841125,0.281837,3.952987,0.620789,0.207425,0.201441,0.073881,,
124,10051935797,0.146581,0.329666,5.999706,0.241542,3.856141,0.617727,0.214058,0.155703,0.155091,,
125,10085657263,0.103435,0.329593,5.841778,0.248599,4.733032,0.623112,0.227469,0.156555,0.070517,,
126,10120265888,0.141269,0.272463,5.961117,0.251182,4.036704,0.600517,0.211145,0.204329,0.117895,,
127,10153216447,0.161069,0.30679,5.860407,0.249339,3.978322,0.755551,0.230058,0.162747,0.070581,,
128,10187214716,0.158742,0.261812,5.861595,0.296801,3.925364,0.624481,0.307543,0.156446,0.072548,,
129,10222831393,,,,,,,,0.203091,0.071904,,
130,10229778012,,,,,,,,0.176948,0.189136,,
131,10230688702,0.103996,0.33392,5.850936,0.303752,3.932889,0.626758,0.280813,0.147004,0.35898,,
132,10254572380,0.14519,0.274443,6.720373,0.231173,3.879237,0.6098,0.21814,0.115374,0.108639,,
133,10289105274,0.19114,0.269477,5.910459,0.23992,3.918866,0.661461,0.227249,0.202361,0.117669,,
134,10322126097,0.153896,0.275069,5.992719,0.296988,3.987884,0.707488,0.221454,0.158185,0.073136,,
135,10356102835,0.100054,0.314231,5.869914,0.253277,3.998366,0.622336,0.3505,0.15952,0.071319,,
136,10391107720,0.155641,0.325236,5.870946,0.33225,3.904447,0.667624,0.26512,0.16364,0.072005,,
137,10423519983,0.14511,0.279122,6.732219,0.242279,3.419215,0.6308,0.220236,0.114627,0.126598,,
138,10457468393,0.147191,0.327159,5.880973,0.295084,3.508168,0.612986,0.224169,0.157496,0.069593,,
139,10490515954,0.145596,0.266256,5.908177,0.240306,3.884711,0.618493,0.222789,0.147852,0.069442,,
140,10524573966,0.146725,0.266714,5.852413,0.300366,3.891085,0.613492,0.31079,0.155668,0.116041,,
141,10559092485,0.142757,0.268236,5.914831,0.245245,3.865976,0.618882,0.222309,0.114302,0.113378,,
142,10594788033,0.152405,0.558207,20.035774,0.779975,5.386238,0.630983,0.211854,0.199966,0.270226,,
143,10642385331,0.142861,0.454431,17.752708,0.789072,5.114784,0.478142,0.197961,0.161218,0.069196,,
144,10673316043,0.146029,0.342219,18.850478,0.746991,5.071785,0.474072,0.158947,0.110163,0.069506,,
145,10707909519,0.093794,0.364808,17.654115,0.841903,5.421137,0.473394,0.164859,0.106904,0.068057,,
146,10740918217,0.139789,0.342291,17.433768,0.782458,5.132379,0.476668,0.166123,0.109752,0.068175,,
147,10775520634,0.144807,0.441604,17.960639,0.778158,5.227065,0.474192,0.167492,0.108274,0.06887,,
148,10808609115,0.145302,0.37146,17.576931,0.747257,5.146171,0.481648,0.159691,0.109233,0.068155,,
149,10841845082,0.140219,0.37217,17.879541,0.81362,5.216007,0.47473,0.160838,0.108797,0.069632,,
150,10876034021,0.093928,0.350575,20.113659,0.722787,5.261839,0.625874,0.21979,0.109076,0.068665,,
151,10912258603,0.085962,0.328704,17.881467,0.742304,5.157114,0.474392,0.158887,0.16357,0.157963,,
152,10943970006,0.138312,0.354506,17.557384,0.81224,5.133176,0.478685,0.205812,0.109501,0.069169,,
153,10976990861,0.146641,0.319401,10.6266,0.257853,3.992625,0.617144,0.216887,0.110339,0.06878,,
154,11002348467,0.141434,0.284339,5.859395,0.296788,4.282267,0.719379,0.227876,0.158233,0.069854,,
155,11031938142,0.097699,0.317431,5.872061,0.297426,4.450855,0.638318,0.436904,0.17537,0.073893,,
156,11065741106,0.097376,0.307861,5.840085,0.350241,4.947915,0.959633,0.33651,0.165359,0.074257,,
157,11100558368,0.15728,0.301601,5.812147,0.253702,4.601287,0.425398,0.293974,0.158557,0.073715,,
158,11135546960,0.150179,1.544347,6.286504,0.242538,4.71127,0.319629,0.216919,0.164502,0.113179,,
159,11168458119,0.148158,0.280534,5.933083,0.246294,3.875594,0.620511,0.213039,0.160878,0.069037,,
160,11200171752,0.149613,0.69742,17.911663,0.77516,5.202538,0.478957,0.197138,0.163518,0.111963,,
161,11247906333,,,,,,,,0.106978,0.067562,,
162,11248252051,,,,,,,,0.059946,0.06895,,
163,11248809834,0.143568,0.320417,17.529738,1.066582,5.239126,0.47041,0.169534,0.122134,0.091691,,
164,11281232217,0.137832,0.957256,5.985231,0.246472,3.907607,0.728466,0.233413,0.109663,0.068504,,
165,11303345739,0.111663,0.365798,5.896236,0.257384,3.929471,0.690708,0.224081,0.155981,0.070672,,
166,11335387560,0.144516,0.280331,5.949434,0.257307,4.017904,0.614663,0.230284,0.159674,0.072467,,
167,11369182081,0.14814,0.276259,5.910841,0.250844,4.018824,0.619927,0.260108,0.162319,0.113133,,
168,11402969658,0.097513,0.321089,6.021735,0.250224,4.007151,0.619379,0.216111,0.164021,0.147439,,
169,11436767110,0.099016,0.318448,5.902571,0.301092,3.908698,0.610739,0.245014,0.214004,0.121977,,
170,11470987637,0.152289,0.286401,5.980136,0.299946,3.940296,0.655819,0.277678,0.171014,0.12141,,
171,11504316612,0.147671,0.716271,21.842228,0.746753,5.191424,0.629629,0.213875,0.114265,0.11553,,
172,11556057303,0.145534,0.43136,21.724328,0.751606,5.331121,0.620594,0.268792,0.178439,0.119964,,
173,11589556819,0.137545,0.448432,22.431694,0.745856,5.264697,0.618463,0.213313,0.113635,0.116811,,
174,11623855759,0.137813,0.310645,6.103732,0.280416,4.298605,0.392774,0.253024,0.157853,0.072076,,
175,11639816875,0.153746,0.288567,5.898675,0.245389,3.854802,0.61618,0.215259,0.11409,0.131061,,
176,11674856958,0.102662,0.323554,5.855892,0.254431,3.876266,0.670763,0.212666,0.233077,0.133292,,
177,11706803206,0.148107,0.322766,6.673632,0.240058,3.863524,0.663872,0.222558,0.230219,0.120125,,
178,11741317040,0.102589,0.323232,5.880575,0.294491,3.924395,1.742828,0.967348,0.112502,0.160371,,
