Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
115,912224426,0.025407,0.038527,147.80304,0.023071,,,,,,,,,,
116,912364070,0.023199,0.041695,,0.027199,,0.121852,,,,,,,,
117,912508258,0.024671,0.048639,,0.027967,0.147964,,,,,,,,,
118,912630078,0.031807,0.036991,,0.055486,,,0.125468,,,,,,,
119,912828376,0.023391,0.038143,,0.024351,,,,,,,,,,
120,912955412,0.023904,0.04339,,0.024032,,,,0.448755,,,,,,
121,913149967,0.028287,0.258072,120.812064,0.046335,0.075293,0.08115,,,0.071134,,,,,
122,914006965,0.218298,0.096605,120.879614,0.036127,,0.078878,,,,,,,,
123,914229807,0.035135,0.067614,,0.050591,0.082142,,,,,,,,,
124,914434760,0.028831,0.059838,121.09964,0.026592,,0.114589,,,,,,,,
125,914615075,0.029152,0.05955,,0.054078,0.082429,,0.092925,,,,,,,
126,914801118,0.026335,0.053407,,0.024735,,,,,,,,,,
127,914938362,0.024767,0.044223,,0.026079,,,,0.299287,,,,,,
128,915089813,0.025951,0.070334,,0.044798,,,,,0.082526,,,,,
129,915257104,0.028063,0.033311,119.215919,0.025727,,,,,,,,,,
130,915416107,0.034975,0.049342,,0.02608,0.080541,0.083038,,,,,,,,
131,915585350,0.026272,0.046462,119.286318,0.027712,0.055966,0.065886,,,,,,,,
132,916061144,,,119.355659,,0.059902,0.099581,0.054495,0.220089,0.040351,,,,,
133,916684198,,,97.023746,,0.060702,0.06563,,,,,,,,
134,916959742,,,97.108544,,0.055934,0.069534,,,,,,,,
135,917209238,,,96.769066,,0.07715,0.05315,,,,,,,,
136,917483630,,,96.205018,,0.053566,0.05555,,,,,,,,
137,917732231,,,96.299255,,0.05715,0.056863,,,,,,,,
138,917994943,,,96.375893,,0.066814,0.068382,,,,,,,,
139,918448113,,,96.376309,,0.099677,0.100349,,,,,,,,
140,918919875,,,96.656461,,0.097214,0.113308,,,,,,,,
141,919416565,,,97.011106,,0.12358,0.108285,,,,,,,,
142,919909446,,,97.255899,,0.132796,0.096669,,,,,,,,
143,920493557,,,97.716237,,0.098077,0.09043,,,,,,,,
144,920895881,,,97.990597,,0.087837,0.090942,,,,,,,,
145,921310365,,,98.264861,,0.086205,0.091518,,,,,,,,
146,921754991,,,98.492406,,0.093534,0.13574,,,,,,,,
147,922226593,,,98.08941,,0.083038,0.088381,,,,,,,,
148,922637429,,,98.286044,,0.08467,0.108317,,,,,,,,
149,923029258,,,92.727138,,0.116413,0.10278,,,,118.132624,,,,
150,923447069,,,92.037622,,0.123068,0.101981,,,,12.672872,,,,
151,923950382,,,92.329389,,,0.197306,,,,10.70829,,,,
152,924258821,,,92.262063,,0.111133,0.111261,,,,9.16616,,,,
153,924955280,,,92.522791,,0.112508,0.102973,,,,,0.699307,0.22937,,
154,925508864,,,92.811614,,0.103613,0.106525,,,,9.072883,0.360373,,,
155,925920212,,,93.111542,,0.140956,0.099357,,,,,0.411348,0.178522,,
156,926560961,,,93.352847,,0.099837,0.102365,,,,,,,,
157,927034259,,,93.633063,,0.098589,0.108764,,,,,,,,
158,927499301,,,93.70746,,0.100797,0.102621,,,,,,,,
159,927962519,,,93.97286,,0.096605,0.195418,,,,,,,,
160,928509671,,,84.711887,,0.104669,0.110844,0.247065,2.526069,0.082302,,,,,
161,931956929,,,84.567988,,0.102781,0.164155,,,,,,,,
162,932482193,,,84.668464,,0.103421,0.102237,,,,,,,,
163,932774056,,,79.383085,,0.096893,0.108477,0.092733,1.859433,0.159452,3.41177,,,,
164,935533623,,,79.455723,,0.092605,0.084029,,,,,,,,
165,935926091,,,79.54948,,0.083902,0.168827,,,,,,,,
166,936275649,,,58.45017,,0.096637,0.101597,0.084094,0.577038,0.07091,1.817226,,,,
167,937338145,,,58.734354,,0.130844,0.102429,,,,,0.727978,0.430611,,
168,938176776,,,59.094791,,0.109116,0.102909,,,,,,,,
