Frame,ts,capsfilter0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,pay0
141,24313234655,0.176327,6.787203,34.788121,0.793638,,0.526584
142,24368753747,0.184439,6.61886,31.35476,0.809003,,0.507205
143,24564235003,0.203829,12.056734,35.076484,0.938293,10118.914893,0.73247
144,24868481633,0.200698,6.726052,30.69629,0.775822,,0.473816
145,25083184151,0.197808,6.771188,34.822606,0.830123,,0.474895
146,25264641625,0.180894,11.97253,34.739263,0.298493,,0.160889
147,25422840871,0.046353,2.100263,13.484591,0.270635,9966.707832,0.198411
148,25708629514,0.045441,2.027697,13.254614,0.235891,,0.124776
149,25807492016,0.047317,2.539639,9.160598,0.359509,,0.159298
150,26079091664,0.089337,2.130294,13.211519,0.231711,,0.157158
151,26230237220,0.081959,2.105692,9.808599,0.277765,9936.94489,0.215457
152,26358381411,0.045785,2.146633,12.848683,0.270723,,0.145017
153,26807851497,0.046062,2.095372,11.115088,0.265502,,0.20687
154,26860135554,0.045613,2.069466,10.139487,0.218156,,0.161275
155,26910404268,0.045824,2.11536,9.592586,0.22391,9540.453022,0.258709
156,27297230061,0.045403,2.100589,13.828036,0.274531,,0.154883
157,27641488860,0.073055,2.060928,17.403363,0.234675,,0.128325
158,27729012917,0.047258,2.070769,10.528298,0.226196,,0.153879
159,27748719686,0.073909,4.456179,12.006058,0.262248,9665.518982,0.217978
160,28180839697,0.074445,2.045561,13.270829,0.244341,,0.157825
161,28372414002,0.046641,2.078425,13.395586,0.240504,,0.164065
162,28454831661,0.047202,2.317712,9.307193,0.240874,,0.166307
163,28476494918,0.046095,2.058407,9.294719,0.224104,9056.797656,0.225437
164,28875170456,0.084048,2.12135,9.381536,0.275571,,0.153648
165,29198814273,0.080208,3.115095,9.30363,0.236391,,0.128894
166,29251889715,0.045358,2.07451,10.298766,0.23477,,0.124874
167,29309904412,0.046195,2.214376,11.286928,0.232056,9199.871521,0.203133
168,29773124143,0.045452,2.06868,9.401614,0.20458,,0.151439
169,29995878505,0.044833,2.092134,12.341553,0.230994,,0.16148
