Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,queue1,pay0
144,28912780671,0.095297,784.585161,6.257765,14.070131,0.24814,,0.52475,0.82457
145,28996104342,0.032868,459.61901,2.819517,9.942312,0.216436,,0.584236,8.563306
146,29010719502,0.057896,97.02731,2.139627,9.756894,0.281771,10362.563696,0.43626,0.618501
147,30133680944,0.0707,1138.130795,10.641927,30.336098,0.827557,,8.66959,0.686387
148,30200584920,0.070318,1189.480469,8.450128,35.7672,0.796149,,1.141539,0.594558
149,30262288663,0.068761,129.491218,8.05752,30.747618,0.764945,,0.74563,0.681117
150,30492018120,0.084164,291.370405,13.464459,41.200493,0.777726,10910.360698,2.730847,0.231064
151,31310501250,0.060055,1047.113652,6.947211,30.829632,0.816312,,1.744782,0.300713
152,31384464882,0.032792,892.408613,7.079966,34.928982,0.805987,,0.397398,0.232733
153,31451029443,0.033472,133.083194,7.151981,32.196782,0.766617,,10.403626,0.234453
154,31860332160,0.032192,475.531254,7.22883,31.599322,0.770709,11050.147639,0.392417,0.235335
155,32123888957,0.03061,669.746854,14.834742,34.32269,2.005123,,0.631406,0.219739
156,32204831052,0.065127,344.161917,7.159197,34.667001,0.748263,,0.369103,0.23414
157,32541206923,0.065389,416.966721,7.170141,34.741952,0.808539,,0.374012,0.270158
158,32704305557,0.032037,499.094989,7.303418,35.583499,0.828866,10975.987141,0.378901,0.278449
159,32766173193,0.032898,224.663286,6.967369,30.996284,0.796753,,4.920158,0.325817
160,33128199746,0.032295,423.600064,6.973899,35.402231,0.792274,,0.397476,0.263528
161,33194887432,0.031777,421.407336,7.155885,30.818437,0.762341,,10.539408,0.236813
162,33366320127,0.065739,237.658343,10.459639,41.030339,0.744127,11615.386352,0.499521,0.227589
163,34219688858,0.033203,1021.505409,6.843711,30.722016,0.824714,,0.628937,0.263739
164,34290061039,0.031429,923.348614,7.046812,35.146432,0.98955,,0.528121,0.224838
165,34356894356,0.031148,129.688588,7.105228,30.646633,0.77208,,8.507612,0.201019
166,34587228914,0.066309,296.765657,14.618632,36.143513,0.802396,11243.300732,0.482745,0.259136
167,35408079132,0.033441,1050.010541,6.801835,30.734935,0.79347,,0.788178,0.289583
168,35489553908,0.032572,902.134391,7.097947,34.862827,0.817754,,0.351571,0.269538
169,35553628458,0.032669,140.074015,7.144091,30.848961,0.74698,,5.685243,0.23717
170,35808335712,0.032901,318.266552,11.35594,31.498997,0.769233,11708.77909,0.358949,0.246642
171,36537534390,0.032795,983.319824,6.856457,30.779203,0.803813,,1.690269,0.325399
